scientificName,.family_names,clean_family_names,.uncer_terms,uncer_terms,clean_uncer_terms,.other_issues,clean_other_issues,.infraesp_names,infraesp_term,names_clean,cardinality,quality
"Pseudoanthidium truncatum (Smith, 1854)",TRUE,"Pseudoanthidium truncatum (Smith, 1854)",TRUE,NA,"Pseudoanthidium truncatum (Smith, 1854)",FALSE,"Pseudoanthidium truncatum (smith, 1854)",TRUE,NA,Pseudoanthidium truncatum,2,4
"Macrotera arcuata (Fox, 1893)",TRUE,"Macrotera arcuata (Fox, 1893)",TRUE,NA,"Macrotera arcuata (Fox, 1893)",TRUE,"Macrotera arcuata (Fox, 1893)",TRUE,NA,Macrotera arcuata,2,1
"Xanthesma furcifera (Cockerell, 1913)",TRUE,"Xanthesma furcifera (Cockerell, 1913)",TRUE,NA,"Xanthesma furcifera (Cockerell, 1913)",TRUE,"Xanthesma furcifera (Cockerell, 1913)",TRUE,NA,Xanthesma furcifera,2,1
"Exomalopsis solidaginis Cockerell, 1898",TRUE,"Exomalopsis solidaginis Cockerell, 1898",TRUE,NA,"Exomalopsis solidaginis Cockerell, 1898",TRUE,"Exomalopsis solidaginis Cockerell, 1898",TRUE,NA,Exomalopsis solidaginis,2,1
"Osmia bicolor (Schrank, 1781)",TRUE,"Osmia bicolor (Schrank, 1781)",TRUE,NA,"Osmia bicolor (Schrank, 1781)",TRUE,"Osmia bicolor (Schrank, 1781)",TRUE,NA,Osmia bicolor,2,1
"Augochlorella aurata (Smith, 1853)",TRUE,"Augochlorella aurata (Smith, 1853)",TRUE,NA,"Augochlorella aurata (Smith, 1853)",TRUE,"Augochlorella aurata (Smith, 1853)",TRUE,NA,Augochlorella aurata,2,1
"Megachile apicata Smith, 1853",TRUE,"Megachile apicata Smith, 1853",TRUE,NA,"Megachile apicata Smith, 1853",TRUE,"Megachile apicata Smith, 1853",TRUE,NA,Megachile apicata,2,1
"Trigona dallatorreana Friese, 1900",TRUE,"Trigona dallatorreana Friese, 1900",TRUE,NA,"Trigona dallatorreana Friese, 1900",TRUE,"Trigona dallatorreana Friese, 1900",TRUE,NA,Trigona dallatorreana,2,1
"Habropoda miserabilis (Cresson, 1878)",TRUE,"Habropoda miserabilis (Cresson, 1878)",TRUE,NA,"Habropoda miserabilis (Cresson, 1878)",TRUE,"Habropoda miserabilis (Cresson, 1878)",TRUE,NA,Habropoda miserabilis,2,1
"Lasioglossum sexstrigatum (Schenck, 1869)",TRUE,"Lasioglossum sexstrigatum (Schenck, 1869)",TRUE,NA,"Lasioglossum sexstrigatum (Schenck, 1869)",TRUE,"Lasioglossum sexstrigatum (Schenck, 1869)",TRUE,NA,Lasioglossum sexstrigatum,2,1
"Bombus bohemicus (Seidl, 1838)",TRUE,"Bombus bohemicus (Seidl, 1838)",TRUE,NA,"Bombus bohemicus (Seidl, 1838)",TRUE,"Bombus bohemicus (Seidl, 1838)",TRUE,NA,Bombus bohemicus,2,1
"Bombus lapidarius (Linnaeus, 1758)",TRUE,"Bombus lapidarius (Linnaeus, 1758)",TRUE,NA,"Bombus lapidarius (Linnaeus, 1758)",TRUE,"Bombus lapidarius (Linnaeus, 1758)",TRUE,NA,Bombus lapidarius,2,1
"Svastra duplocincta (Cockerell, 1905)",TRUE,"Svastra duplocincta (Cockerell, 1905)",TRUE,NA,"Svastra duplocincta (Cockerell, 1905)",TRUE,"Svastra duplocincta (Cockerell, 1905)",TRUE,NA,Svastra duplocincta,2,1
"Agapostemon femoratus Crawford, 1901",TRUE,"Agapostemon femoratus Crawford, 1901",TRUE,NA,"Agapostemon femoratus Crawford, 1901",TRUE,"Agapostemon femoratus Crawford, 1901",TRUE,NA,Agapostemon femoratus,2,1
"Melissodes tintinnans (Holmberg, 1884)",TRUE,"Melissodes tintinnans (Holmberg, 1884)",TRUE,NA,"Melissodes tintinnans (Holmberg, 1884)",TRUE,"Melissodes tintinnans (Holmberg, 1884)",TRUE,NA,Melissodes tintinnans,2,1
"Trigona spinipes (Fabricius, 1793)",TRUE,"Trigona spinipes (Fabricius, 1793)",TRUE,NA,"Trigona spinipes (Fabricius, 1793)",TRUE,"Trigona spinipes (Fabricius, 1793)",TRUE,NA,Trigona spinipes,2,1
"Nannotrigona melanocera (Schwarz, 1938)",TRUE,"Nannotrigona melanocera (Schwarz, 1938)",TRUE,NA,"Nannotrigona melanocera (Schwarz, 1938)",TRUE,"Nannotrigona melanocera (Schwarz, 1938)",TRUE,NA,Nannotrigona melanocera,2,1
"Bombus campestris (Panzer, 1801)",TRUE,"Bombus campestris (Panzer, 1801)",TRUE,NA,"Bombus campestris (Panzer, 1801)",TRUE,"Bombus campestris (Panzer, 1801)",TRUE,NA,Bombus campestris,2,1
"Osmia cornifrons (Radoszkowski, 1887)",TRUE,"Osmia cornifrons (Radoszkowski, 1887)",TRUE,NA,"Osmia cornifrons (Radoszkowski, 1887)",TRUE,"Osmia cornifrons (Radoszkowski, 1887)",TRUE,NA,Osmia cornifrons,2,1
"Lasioglossum leucopus (Kirby, 1802)",TRUE,"Lasioglossum leucopus (Kirby, 1802)",TRUE,NA,"Lasioglossum leucopus (Kirby, 1802)",TRUE,"Lasioglossum leucopus (Kirby, 1802)",TRUE,NA,Lasioglossum leucopus,2,1
"Melissodes tristis Cockerell, 1894",TRUE,"Melissodes tristis Cockerell, 1894",TRUE,NA,"Melissodes tristis Cockerell, 1894",TRUE,"Melissodes tristis Cockerell, 1894",TRUE,NA,Melissodes tristis,2,1
"Osmia pumila Cresson, 1864",TRUE,"Osmia pumila Cresson, 1864",TRUE,NA,"Osmia pumila Cresson, 1864",TRUE,"Osmia pumila Cresson, 1864",TRUE,NA,Osmia pumila,2,1
"Zadontomerus Ashmead, 1899",TRUE,"Zadontomerus Ashmead, 1899",TRUE,NA,"Zadontomerus Ashmead, 1899",TRUE,"Zadontomerus Ashmead, 1899",TRUE,NA,Zadontomerus,1,1
"Bombus (Pyrobombus) hypnorum ericetorum (Panzer, 1801)",TRUE,"Bombus (Pyrobombus) hypnorum ericetorum (Panzer, 1801)",TRUE,NA,"Bombus (Pyrobombus) hypnorum ericetorum (Panzer, 1801)",TRUE,"Bombus (Pyrobombus) hypnorum ericetorum (Panzer, 1801)",TRUE,NA,Bombus hypnorum ericetorum,3,1
"Bombus (Thoracobombus) pascuorum septentrionalis Vogt, 1909",TRUE,"Bombus (Thoracobombus) pascuorum septentrionalis Vogt, 1909",TRUE,NA,"Bombus (Thoracobombus) pascuorum septentrionalis Vogt, 1909",TRUE,"Bombus (Thoracobombus) pascuorum septentrionalis Vogt, 1909",TRUE,NA,Bombus pascuorum septentrionalis,3,1
Halictidae,TRUE,Halictidae,TRUE,NA,Halictidae,TRUE,Halictidae,TRUE,NA,Halictidae,1,1
"Perdita bishoppi Cockerell, 1906",TRUE,"Perdita bishoppi Cockerell, 1906",TRUE,NA,"Perdita bishoppi Cockerell, 1906",TRUE,"Perdita bishoppi Cockerell, 1906",TRUE,NA,Perdita bishoppi,2,1
"Melissodes lupinus Cresson, 1878",TRUE,"Melissodes lupinus Cresson, 1878",TRUE,NA,"Melissodes lupinus Cresson, 1878",TRUE,"Melissodes lupinus Cresson, 1878",TRUE,NA,Melissodes lupinus,2,1
"Trichotrigona camargoiana Pedro and Cordeiro, 2015",TRUE,"Trichotrigona camargoiana Pedro and Cordeiro, 2015",TRUE,NA,"Trichotrigona camargoiana Pedro and Cordeiro, 2015",TRUE,"Trichotrigona camargoiana Pedro and Cordeiro, 2015",TRUE,NA,Trichotrigona camargoiana,2,1
"Bombus cingulatus Wahlberg, 1854",TRUE,"Bombus cingulatus Wahlberg, 1854",TRUE,NA,"Bombus cingulatus Wahlberg, 1854",TRUE,"Bombus cingulatus Wahlberg, 1854",TRUE,NA,Bombus cingulatus,2,1
"Melecta thoracica Cresson, 1875",TRUE,"Melecta thoracica Cresson, 1875",TRUE,NA,"Melecta thoracica Cresson, 1875",TRUE,"Melecta thoracica Cresson, 1875",TRUE,NA,Melecta thoracica,2,1
"Bombus impatiens Cresson, 1863",TRUE,"Bombus impatiens Cresson, 1863",TRUE,NA,"Bombus impatiens Cresson, 1863",TRUE,"Bombus impatiens Cresson, 1863",TRUE,NA,Bombus impatiens,2,1
"Bombus pensylvanicus (De Geer, 1773)",TRUE,"Bombus pensylvanicus (De Geer, 1773)",TRUE,NA,"Bombus pensylvanicus (De Geer, 1773)",TRUE,"Bombus pensylvanicus (De Geer, 1773)",TRUE,NA,Bombus pensylvanicus,2,1
"Bombus hypnorum (Linnaeus, 1758)",TRUE,"Bombus hypnorum (Linnaeus, 1758)",TRUE,NA,"Bombus hypnorum (Linnaeus, 1758)",TRUE,"Bombus hypnorum (Linnaeus, 1758)",TRUE,NA,Bombus hypnorum,2,1
"Bombus hypnorum (Linnaeus, 1758)",TRUE,"Bombus hypnorum (Linnaeus, 1758)",TRUE,NA,"Bombus hypnorum (Linnaeus, 1758)",TRUE,"Bombus hypnorum (Linnaeus, 1758)",TRUE,NA,Bombus hypnorum,2,1
"Protosmia rubifloris (Cockerell, 1898)",TRUE,"Protosmia rubifloris (Cockerell, 1898)",TRUE,NA,"Protosmia rubifloris (Cockerell, 1898)",TRUE,"Protosmia rubifloris (Cockerell, 1898)",TRUE,NA,Protosmia rubifloris,2,1
"Stelis perpulchra Crawford, 1916",TRUE,"Stelis perpulchra Crawford, 1916",TRUE,NA,"Stelis perpulchra Crawford, 1916",TRUE,"Stelis perpulchra Crawford, 1916",TRUE,NA,Stelis perpulchra,2,1
"Lasioglossum albipenne (Robertson, 1890)",TRUE,"Lasioglossum albipenne (Robertson, 1890)",TRUE,NA,"Lasioglossum albipenne (Robertson, 1890)",TRUE,"Lasioglossum albipenne (Robertson, 1890)",TRUE,NA,Lasioglossum albipenne,2,1
"Lasioglossum brunneiventre (Crawford, 1907)",TRUE,"Lasioglossum brunneiventre (Crawford, 1907)",TRUE,NA,"Lasioglossum brunneiventre (Crawford, 1907)",TRUE,"Lasioglossum brunneiventre (Crawford, 1907)",TRUE,NA,Lasioglossum brunneiventre,2,1
"Lasioglossum laticeps (Schenck, 1869)",TRUE,"Lasioglossum laticeps (Schenck, 1869)",TRUE,NA,"Lasioglossum laticeps (Schenck, 1869)",TRUE,"Lasioglossum laticeps (Schenck, 1869)",TRUE,NA,Lasioglossum laticeps,2,1
"Lasioglossum foxii (Robertson, 1895)",TRUE,"Lasioglossum foxii (Robertson, 1895)",TRUE,NA,"Lasioglossum foxii (Robertson, 1895)",TRUE,"Lasioglossum foxii (Robertson, 1895)",TRUE,NA,Lasioglossum foxii,2,1
"Perdita beatula Timberlake, 1960",TRUE,"Perdita beatula Timberlake, 1960",TRUE,NA,"Perdita beatula Timberlake, 1960",TRUE,"Perdita beatula Timberlake, 1960",TRUE,NA,Perdita beatula,2,1
"Perdita tridentata Stevens, 1919",TRUE,"Perdita tridentata Stevens, 1919",TRUE,NA,"Perdita tridentata Stevens, 1919",TRUE,"Perdita tridentata Stevens, 1919",TRUE,NA,Perdita tridentata,2,1
"Lasioglossum oceanicum (Cockerell, 1916)",TRUE,"Lasioglossum oceanicum (Cockerell, 1916)",TRUE,NA,"Lasioglossum oceanicum (Cockerell, 1916)",TRUE,"Lasioglossum oceanicum (Cockerell, 1916)",TRUE,NA,Lasioglossum oceanicum,2,1
"Perdita ignota Cockerell, 1896",TRUE,"Perdita ignota Cockerell, 1896",TRUE,NA,"Perdita ignota Cockerell, 1896",TRUE,"Perdita ignota Cockerell, 1896",TRUE,NA,Perdita ignota,2,1
"Hylaeus asininus (Cockerell and Casad, 1895)",TRUE,"Hylaeus asininus (Cockerell and Casad, 1895)",TRUE,NA,"Hylaeus asininus (Cockerell and Casad, 1895)",TRUE,"Hylaeus asininus (Cockerell and Casad, 1895)",TRUE,NA,Hylaeus asininus,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Melissodes tristis Cockerell, 1894",TRUE,"Melissodes tristis Cockerell, 1894",TRUE,NA,"Melissodes tristis Cockerell, 1894",TRUE,"Melissodes tristis Cockerell, 1894",TRUE,NA,Melissodes tristis,2,1
"Bombus bifarius Cresson, 1878",TRUE,"Bombus bifarius Cresson, 1878",TRUE,NA,"Bombus bifarius Cresson, 1878",TRUE,"Bombus bifarius Cresson, 1878",TRUE,NA,Bombus bifarius,2,1
"Colletes kincaidii Cockerell, 1898",TRUE,"Colletes kincaidii Cockerell, 1898",TRUE,NA,"Colletes kincaidii Cockerell, 1898",TRUE,"Colletes kincaidii Cockerell, 1898",TRUE,NA,Colletes kincaidii,2,1
"Lasioglossum lilianae Gardner and Gibbs, 2020",TRUE,"Lasioglossum lilianae Gardner and Gibbs, 2020",TRUE,NA,"Lasioglossum lilianae Gardner and Gibbs, 2020",TRUE,"Lasioglossum lilianae Gardner and Gibbs, 2020",TRUE,NA,Lasioglossum lilianae,2,1
"Exomalopsis tepaneca Cresson, 1878",TRUE,"Exomalopsis tepaneca Cresson, 1878",TRUE,NA,"Exomalopsis tepaneca Cresson, 1878",TRUE,"Exomalopsis tepaneca Cresson, 1878",TRUE,NA,Exomalopsis tepaneca,2,1
"Lasioglossum coriaceum (Smith, 1853)",TRUE,"Lasioglossum coriaceum (Smith, 1853)",TRUE,NA,"Lasioglossum coriaceum (Smith, 1853)",TRUE,"Lasioglossum coriaceum (Smith, 1853)",TRUE,NA,Lasioglossum coriaceum,2,1
"Andrena nasonii Robertson, 1895",TRUE,"Andrena nasonii Robertson, 1895",TRUE,NA,"Andrena nasonii Robertson, 1895",TRUE,"Andrena nasonii Robertson, 1895",TRUE,NA,Andrena nasonii,2,1
"Partamona testacea (Klug, 1807)",TRUE,"Partamona testacea (Klug, 1807)",TRUE,NA,"Partamona testacea (Klug, 1807)",TRUE,"Partamona testacea (Klug, 1807)",TRUE,NA,Partamona testacea,2,1
"Lasioglossum bicingulatum (Smith, 1853)",TRUE,"Lasioglossum bicingulatum (Smith, 1853)",TRUE,NA,"Lasioglossum bicingulatum (Smith, 1853)",TRUE,"Lasioglossum bicingulatum (Smith, 1853)",TRUE,NA,Lasioglossum bicingulatum,2,1
"Halictus rubicundus (Christ, 1791)",TRUE,"Halictus rubicundus (Christ, 1791)",TRUE,NA,"Halictus rubicundus (Christ, 1791)",TRUE,"Halictus rubicundus (Christ, 1791)",TRUE,NA,Halictus rubicundus,2,1
"Ceratina calcarata Robertson, 1900",TRUE,"Ceratina calcarata Robertson, 1900",TRUE,NA,"Ceratina calcarata Robertson, 1900",TRUE,"Ceratina calcarata Robertson, 1900",TRUE,NA,Ceratina calcarata,2,1
"Trigona fuscipennis Friese, 1900",TRUE,"Trigona fuscipennis Friese, 1900",TRUE,NA,"Trigona fuscipennis Friese, 1900",TRUE,"Trigona fuscipennis Friese, 1900",TRUE,NA,Trigona fuscipennis,2,1
"Plebeia frontalis (Friese, 1911)",TRUE,"Plebeia frontalis (Friese, 1911)",TRUE,NA,"Plebeia frontalis (Friese, 1911)",TRUE,"Plebeia frontalis (Friese, 1911)",TRUE,NA,Plebeia frontalis,2,1
"Bombus occidentalis Greene, 1858",TRUE,"Bombus occidentalis Greene, 1858",TRUE,NA,"Bombus occidentalis Greene, 1858",TRUE,"Bombus occidentalis Greene, 1858",TRUE,NA,Bombus occidentalis,2,1
"Bombus impatiens Cresson, 1863",TRUE,"Bombus impatiens Cresson, 1863",TRUE,NA,"Bombus impatiens Cresson, 1863",TRUE,"Bombus impatiens Cresson, 1863",TRUE,NA,Bombus impatiens,2,1
"Bombus mixtus Cresson, 1878",TRUE,"Bombus mixtus Cresson, 1878",TRUE,NA,"Bombus mixtus Cresson, 1878",TRUE,"Bombus mixtus Cresson, 1878",TRUE,NA,Bombus mixtus,2,1
"Bombus terricola Kirby, 1837",TRUE,"Bombus terricola Kirby, 1837",TRUE,NA,"Bombus terricola Kirby, 1837",TRUE,"Bombus terricola Kirby, 1837",TRUE,NA,Bombus terricola,2,1
"Teratognatha modesta Ogloblin, 1956",TRUE,"Teratognatha modesta Ogloblin, 1956",TRUE,NA,"Teratognatha modesta Ogloblin, 1956",TRUE,"Teratognatha modesta Ogloblin, 1956",TRUE,NA,Teratognatha modesta,2,1
"Macrotera arcuata (Fox, 1893)",TRUE,"Macrotera arcuata (Fox, 1893)",TRUE,NA,"Macrotera arcuata (Fox, 1893)",TRUE,"Macrotera arcuata (Fox, 1893)",TRUE,NA,Macrotera arcuata,2,1
"Perdita wyomingensis Cockerell, 1922",TRUE,"Perdita wyomingensis Cockerell, 1922",TRUE,NA,"Perdita wyomingensis Cockerell, 1922",TRUE,"Perdita wyomingensis Cockerell, 1922",TRUE,NA,Perdita wyomingensis,2,1
"Hylaeus basalis (Smith, 1853)",TRUE,"Hylaeus basalis (Smith, 1853)",TRUE,NA,"Hylaeus basalis (Smith, 1853)",TRUE,"Hylaeus basalis (Smith, 1853)",TRUE,NA,Hylaeus basalis,2,1
"Ashmeadiella meliloti (Cockerell, 1897)",TRUE,"Ashmeadiella meliloti (Cockerell, 1897)",TRUE,NA,"Ashmeadiella meliloti (Cockerell, 1897)",TRUE,"Ashmeadiella meliloti (Cockerell, 1897)",TRUE,NA,Ashmeadiella meliloti,2,1
"Osmia lignaria Say, 1837",TRUE,"Osmia lignaria Say, 1837",TRUE,NA,"Osmia lignaria Say, 1837",TRUE,"Osmia lignaria Say, 1837",TRUE,NA,Osmia lignaria,2,1
"Nomia maneei Cockerell, 1910",TRUE,"Nomia maneei Cockerell, 1910",TRUE,NA,"Nomia maneei Cockerell, 1910",TRUE,"Nomia maneei Cockerell, 1910",TRUE,NA,Nomia maneei,2,1
"Lasioglossum viridatum (Lovell, 1905)",TRUE,"Lasioglossum viridatum (Lovell, 1905)",TRUE,NA,"Lasioglossum viridatum (Lovell, 1905)",TRUE,"Lasioglossum viridatum (Lovell, 1905)",TRUE,NA,Lasioglossum viridatum,2,1
"Lasioglossum pilosum (Smith, 1853)",TRUE,"Lasioglossum pilosum (Smith, 1853)",TRUE,NA,"Lasioglossum pilosum (Smith, 1853)",TRUE,"Lasioglossum pilosum (Smith, 1853)",TRUE,NA,Lasioglossum pilosum,2,1
"Lasioglossum microlepoides (Ellis, 1914)",TRUE,"Lasioglossum microlepoides (Ellis, 1914)",TRUE,NA,"Lasioglossum microlepoides (Ellis, 1914)",TRUE,"Lasioglossum microlepoides (Ellis, 1914)",TRUE,NA,Lasioglossum microlepoides,2,1
"Melissodes trinodis Robertson, 1901",TRUE,"Melissodes trinodis Robertson, 1901",TRUE,NA,"Melissodes trinodis Robertson, 1901",TRUE,"Melissodes trinodis Robertson, 1901",TRUE,NA,Melissodes trinodis,2,1
"Ceratina nanula Cockerell, 1897",TRUE,"Ceratina nanula Cockerell, 1897",TRUE,NA,"Ceratina nanula Cockerell, 1897",TRUE,"Ceratina nanula Cockerell, 1897",TRUE,NA,Ceratina nanula,2,1
"Deltoptila elefas (Friese, 1917)",TRUE,"Deltoptila elefas (Friese, 1917)",TRUE,NA,"Deltoptila elefas (Friese, 1917)",TRUE,"Deltoptila elefas (Friese, 1917)",TRUE,NA,Deltoptila elefas,2,1
"Melipona interrupta Latreille, 1811",TRUE,"Melipona interrupta Latreille, 1811",TRUE,NA,"Melipona interrupta Latreille, 1811",TRUE,"Melipona interrupta Latreille, 1811",TRUE,NA,Melipona interrupta,2,1
"Bombus jonellus (Kirby, 1802)",TRUE,"Bombus jonellus (Kirby, 1802)",TRUE,NA,"Bombus jonellus (Kirby, 1802)",TRUE,"Bombus jonellus (Kirby, 1802)",TRUE,NA,Bombus jonellus,2,1
"Bombus lucorum (Linnaeus, 1761)",TRUE,"Bombus lucorum (Linnaeus, 1761)",TRUE,NA,"Bombus lucorum (Linnaeus, 1761)",TRUE,"Bombus lucorum (Linnaeus, 1761)",TRUE,NA,Bombus lucorum,2,1
"Trigona amazonensis (Ducke, 1916)",TRUE,"Trigona amazonensis (Ducke, 1916)",TRUE,NA,"Trigona amazonensis (Ducke, 1916)",TRUE,"Trigona amazonensis (Ducke, 1916)",TRUE,NA,Trigona amazonensis,2,1
"Bombus ruderarius (Müller, 1776)",TRUE,"Bombus ruderarius (Müller, 1776)",TRUE,NA,"Bombus ruderarius (Müller, 1776)",TRUE,"Bombus ruderarius (Müller, 1776)",TRUE,NA,Bombus ruderarius,2,1
"Nomada flavopicta (Kirby, 1802)",TRUE,"Nomada flavopicta (Kirby, 1802)",TRUE,NA,"Nomada flavopicta (Kirby, 1802)",TRUE,"Nomada flavopicta (Kirby, 1802)",TRUE,NA,Nomada flavopicta,2,1
"Bombus soroeensis (Fabricius, 1776)",TRUE,"Bombus soroeensis (Fabricius, 1776)",TRUE,NA,"Bombus soroeensis (Fabricius, 1776)",TRUE,"Bombus soroeensis (Fabricius, 1776)",TRUE,NA,Bombus soroeensis,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Bombus ruderarius (Müller, 1776)",TRUE,"Bombus ruderarius (Müller, 1776)",TRUE,NA,"Bombus ruderarius (Müller, 1776)",TRUE,"Bombus ruderarius (Müller, 1776)",TRUE,NA,Bombus ruderarius,2,1
"Bombus sylvestris (Lepeletier, 1832)",TRUE,"Bombus sylvestris (Lepeletier, 1832)",TRUE,NA,"Bombus sylvestris (Lepeletier, 1832)",TRUE,"Bombus sylvestris (Lepeletier, 1832)",TRUE,NA,Bombus sylvestris,2,1
"Bombus pascuorum (Scopoli, 1763)",TRUE,"Bombus pascuorum (Scopoli, 1763)",TRUE,NA,"Bombus pascuorum (Scopoli, 1763)",TRUE,"Bombus pascuorum (Scopoli, 1763)",TRUE,NA,Bombus pascuorum,2,1
"Bombus lapidarius (Linnaeus, 1758)",TRUE,"Bombus lapidarius (Linnaeus, 1758)",TRUE,NA,"Bombus lapidarius (Linnaeus, 1758)",TRUE,"Bombus lapidarius (Linnaeus, 1758)",TRUE,NA,Bombus lapidarius,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Bombus terrestris (Linnaeus, 1758)",TRUE,"Bombus terrestris (Linnaeus, 1758)",TRUE,NA,"Bombus terrestris (Linnaeus, 1758)",TRUE,"Bombus terrestris (Linnaeus, 1758)",TRUE,NA,Bombus terrestris,2,1
"Bombus terrestris (Linnaeus, 1758)",TRUE,"Bombus terrestris (Linnaeus, 1758)",TRUE,NA,"Bombus terrestris (Linnaeus, 1758)",TRUE,"Bombus terrestris (Linnaeus, 1758)",TRUE,NA,Bombus terrestris,2,1
"Bombus lapidarius (Linnaeus, 1758)",TRUE,"Bombus lapidarius (Linnaeus, 1758)",TRUE,NA,"Bombus lapidarius (Linnaeus, 1758)",TRUE,"Bombus lapidarius (Linnaeus, 1758)",TRUE,NA,Bombus lapidarius,2,1
"Bombus pratorum (Linnaeus, 1761)",TRUE,"Bombus pratorum (Linnaeus, 1761)",TRUE,NA,"Bombus pratorum (Linnaeus, 1761)",TRUE,"Bombus pratorum (Linnaeus, 1761)",TRUE,NA,Bombus pratorum,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
"Bombus balteatus Dahlbom, 1832",TRUE,"Bombus balteatus Dahlbom, 1832",TRUE,NA,"Bombus balteatus Dahlbom, 1832",TRUE,"Bombus balteatus Dahlbom, 1832",TRUE,NA,Bombus balteatus,2,1
"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,"Apis mellifera Linnaeus, 1758",TRUE,"Apis mellifera Linnaeus, 1758",TRUE,NA,Apis mellifera,2,1
